month;day;week;temp_2;temp_1;actual;forecast_noaa;forecast_acc;forecast_under;friend
1;1;Fri;45;45;45;43;50;44;29
1;2;Sat;44;45;44;41;50;44;61
1;3;Sun;45;44;41;43;46;47;56
1;4;Mon;44;41;40;44;48;46;53
1;5;Tues;41;40;44;46;46;46;41
1;6;Wed;40;44;51;43;49;48;40
1;7;Thurs;44;51;45;45;49;46;38
1;8;Fri;51;45;48;43;47;46;34
1;9;Sat;45;48;50;46;50;45;47
1;10;Sun;48;50;52;45;48;48;49
1;11;Mon;50;52;45;42;48;48;39
1;12;Tues;52;45;49;44;50;45;61
1;13;Wed;45;49;55;45;51;46;33
1;14;Thurs;49;55;49;43;47;46;58
1;15;Fri;55;49;48;46;51;46;65
1;16;Sat;49;48;54;45;52;46;28
1;17;Sun;48;54;50;45;51;46;47
1;18;Mon;54;50;54;44;48;49;58
1;19;Tues;50;54;48;47;49;48;53
1;20;Wed;54;48;52;44;52;49;61
1;21;Thurs;48;52;52;43;51;46;57
1;22;Fri;52;52;57;47;48;48;60
1;23;Sat;52;57;48;45;49;50;37
1;24;Sun;57;48;51;46;50;48;54
1;25;Mon;48;51;54;45;51;49;63
1;26;Tues;51;54;56;44;53;50;61
1;27;Wed;54;56;57;45;51;49;54
1;28;Thurs;56;57;56;44;52;48;34
1;29;Fri;57;56;52;48;52;47;49
1;30;Sat;56;52;48;45;51;48;47
1;31;Sun;52;48;47;47;52;49;61
2;1;Mon;48;47;46;46;49;49;51
2;2;Tues;47;46;51;48;50;50;56
2;3;Wed;46;51;49;48;49;50;40
2;4;Thurs;51;49;49;44;54;51;44
2;5;Fri;49;49;53;47;50;49;45
2;6;Sat;49;53;49;47;53;49;56
2;7;Sun;53;49;51;46;51;48;63
2;8;Mon;49;51;57;49;52;50;34
2;9;Tues;51;57;62;45;52;49;57
2;10;Wed;57;62;56;48;50;49;30
2;11;Thurs;62;56;55;46;53;50;37
2;12;Fri;56;55;58;49;52;48;33
2;15;Mon;55;58;55;46;52;49;53
2;16;Tues;58;55;56;47;54;51;55
2;17;Wed;55;56;57;45;51;49;46
2;18;Thurs;56;57;53;47;55;49;34
2;19;Fri;57;53;51;50;52;51;42
2;20;Sat;53;51;53;48;55;51;43
2;21;Sun;51;53;51;49;54;52;46
2;22;Mon;53;51;51;46;51;50;59
2;23;Tues;51;51;60;49;53;51;43
2;24;Wed;51;60;59;47;53;50;46
2;25;Thurs;60;59;61;49;51;49;35
2;26;Fri;59;61;60;48;56;53;65
2;27;Sat;61;60;57;51;53;53;61
2;28;Sun;60;57;53;48;56;53;66
3;1;Tues;53;54;58;48;56;50;53
3;2;Wed;54;58;55;47;54;52;37
3;3;Thurs;58;55;59;49;54;50;71
3;4;Fri;55;59;57;47;56;53;45
3;5;Sat;59;57;64;49;53;51;46
3;6;Sun;57;64;60;52;53;51;49
3;7;Mon;64;60;53;49;57;53;71
3;8;Tues;60;53;54;48;56;51;70
3;9;Wed;53;54;55;48;56;54;57
3;10;Thurs;54;55;56;49;55;53;50
3;11;Fri;55;56;55;53;53;51;36
3;12;Sat;56;55;52;52;58;53;65
3;13;Sun;55;52;54;50;55;53;54
3;14;Mon;52;54;49;49;58;55;44
3;15;Tues;54;49;51;49;58;52;70
3;16;Wed;49;51;53;52;54;55;65
3;17;Thurs;51;53;58;49;58;52;62
3;18;Fri;53;58;63;51;57;54;56
3;19;Sat;58;63;61;54;59;54;62
3;20;Sun;63;61;55;51;56;55;50
3;21;Mon;61;55;56;52;56;55;52
3;22;Tues;55;56;57;51;55;54;64
3;23;Wed;56;57;53;50;58;55;70
3;24;Thurs;57;53;54;54;56;56;72
3;25;Fri;53;54;57;53;57;57;42
3;26;Sat;54;57;59;53;57;55;54
3;27;Sun;57;59;51;52;58;55;39
3;28;Mon;59;51;56;55;57;55;47
3;29;Tues;51;56;64;53;59;54;45
3;30;Wed;56;64;68;51;57;56;57
